Zip Code,#2 Fuel Oil with 0% biodiesel (gallons),#2 Fuel Oil with 2% biodiesel (gallons),#2 Fuel Oil with 5% biodiesel (gallons),#2 Fuel Oil with 6% biodiesel (gallons),#2 Fuel Oil with 10% biodiesel (gallons),#2 Fuel Oil with 17% biodiesel (gallons),Total #2 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #2 Fuel Oil,Total Biodiesel Blended with #2 Fuel Oil 1,#4 Fuel Oil with 2% biodiesel (gallons),#4 Fuel Oil with 5% biodiesel (gallons),#4 Fuel Oil with 6% biodiesel (gallons),Total #4 Fuel Oil without Biodiesel Component,Total Biodiesel Blended with #4 Fuel Oil
11101,392.6,57954.53948,803121.1528,419331.3074,135373.2,133767,1491046.023,113717.48,400961.94,5752.756152,241809,58481.83963,290329.1803,15714.4155
11102,548.4,51144.22441,775568.1896,344574.991,12118.9,208165,1314296.692,101888.91,359935.07,1154.362311,60112.8,144.3043409,58374.08115,3037.385507
11103,664.5,50469.41144,107819.9528,737680.5427,24685.6,442002,1262394.288,135105.72,380748.98,3353.451627,144791,30257.40775,169279.7959,9122.063498
11104,0,24044.37225,124398.7132,341511.0371,47515.8,94592,611020.3772,54769.25,170227.78,3357.851096,89700.3,85577.75772,168949.0713,9686.837485
11105,0,121871.122,301748.4397,2580904.747,4463.3,319433,3138248.019,236368.19,854778.67,9180.741429,125124.2,354105.6647,460724.4414,27686.16471
11106,0,33568.88736,130950.2426,454276.6941,3188.4,261502,841066.6325,88457.19,247463,3344.819757,128716.8,45881.0287,168687.0503,9255.598117
11109,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11111,0,393.1758537,68.88995577,10424.98919,0,0,10250.24764,636.81,2686.86,0,0,0,0,0
11120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11124,0,500.6933378,87.72853564,13275.79654,0,0,13053.27032,810.95,3421.6,0,0,0,0,0
11201,0,42940.03046,497961.1991,482275.2193,151626.3,2712,1116394.825,72616.32,293596.01,6521.136583,321367.7,19032.19321,329580.2905,17340.73932
11202,0,106.741656,18.70264385,2830.236394,0,0,2782.796545,172.88,729.44,0,0,0,0,0
11203,1825.1,27264.69258,174311.9587,534882.5691,0,12630,710650.2545,44310.17,185631,1617.284012,32094.1,52327.27318,81261.97012,4776.687071
11204,0,40004.78855,72644.90327,930213.4919,59034.6,656,1040437.973,67296.21,274347.73,4476.105499,158883.8,74766.54829,225606.7488,12519.70501
11205,0,20774.23377,178105.8388,284251.2856,83646,8462,539060.3644,36178.99,143991.07,3971.249618,179414.7,27882.43734,200545.2807,10723.10623
11206,0,13324.29069,117545.3037,139258.4439,48037.5,7611,339718.5406,29231.6,88540.59,6076.127692,316411.1,759.5636076,307259.1399,15987.65137
11207,2739.8,17313.76008,255935.215,146470.1291,18700.4,28235,448812.5905,30606.11,118363.75,8460.710991,440587,1057.655219,427843.3427,22262.02353
11208,5675.1,14858.3064,118355.8849,155623.1029,37713.4,63505,378168.2976,33258.8,105753.2,9219.439859,480097.4,1152.502277,466210.9332,24258.40893
11209,0,36837.84289,85055.40971,893797.68,0,1972,960613.0245,59428.31,251075.23,1728.943344,80203,10046.93148,87331.33006,4647.544755
